ACCELEROMETER X (,/s²),ACCELEROMETER Y (,/s²),ACCELEROMETER Z (,/s²),GRAVITY X (,/s²),GRAVITY Y (,/s²),GRAVITY Z (,/s²),LINEAR ACCELERATION X (,/s²),LINEAR ACCELERATION Y (,/s²),LINEAR ACCELERATION Z (,/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (,,x),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azi,,th °),ORIENTATION X (pit,h °),ORIENTATION Y (r,,, °),PROXIMITY (,),SOUND LEVEL (dB),LOCATION Latit,de : ,LOCATION L,ngit,de : ,LOCATION A,tit,de ( ,),LOCATION A,tit,de-g,,g,e ( ,),LOCATION Speed ( ,/s),LOCATION A,,,ra,y ( ,),LOCATION ORIENTATION (°),Sate,,ites in range,Ti,e sin,e start in ,s ,YYYY-MO-DD HH-MI-SS_SSS
0.174377,1.0457,9.556412,0.087136,1.032854,9.751718,-0.031545,-0.029169,-0.087773,-0.002792,-0.006561,0.001877,2147.4836,3.3188,-7.4249,-49.3988,242.5853,-6.0697,-0.511,5,65.64943,49.011276,8.423003,161.8567,NaN,7.09,5.36,239.9,17 / 27,12508,2018-07-03 13:47:07:554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.048691,0.934372,9.892792,0.083755,1.008821,9.754264,-0.019449,-0.005562,0.58248,-0.006699,0.00766,0.00206,2147.4836,3.4897,-5.1086,-43.5593,237.1459,-5.9689,-0.5394,5,66.38672,49.011242,8.422915,160.4849,NaN,8.03,5.36,239.1,17 / 27,13008,2018-07-03 13:47:08:054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.128479,0.935577,9.757523,0.00866,0.981533,9.757402,-0.096034,-0.094833,-0.211807,0.008575,0.002151,0.001343,2147.4836,4.0085,-2.7649,-43.8202,289.3524,-5.7443,-0.0509,5,64.60495,49.011242,8.422915,160.4849,NaN,8.03,5.36,239.1,17 / 27,13509,2018-07-03 13:47:08:555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.070236,0.809876,9.917938,0.027514,0.948284,9.760655,0.011408,-0.104512,0.061059,0.00502,-0.006195,0.000458,2147.4836,8.2779,-4.0665,-45.1096,272.95,-5.6115,-0.1318,5,66.25322,49.0112,8.422818,159.2347,NaN,9,5.36,239.4,17 / 27,14008,2018-07-03 13:47:09:054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.174377,0.765579,9.680908,0.048354,0.849311,9.769684,0.020434,-0.130535,-0.20043,-0.008301,0.005692,0.00116,2147.4836,10.0189,-11.4777,-36.6852,232.9023,-5.0403,-0.3058,5,65.86391,49.0112,8.422818,159.2347,NaN,9,5.36,239.4,17 / 27,14509,2018-07-03 13:47:09:555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.010376,0.626724,9.846115,0.02382,0.822706,9.77205,-0.07974,-0.2819,-0.014837,-0.001724,0.002319,-0.001144,2147.4836,17.5644,-5.806,-42.2058,262.2642,-4.8124,-0.1397,5,66.99256,49.011154,8.422715,159.119,NaN,9.76,5.36,240.1,17 / 28,15008,2018-07-03 13:47:10:054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.046295,0.210129,9.801819,0.036528,0.58556,9.789084,-0.008784,-0.409684,-0.041902,0.001648,-0.009933,-0.002029,2147.4836,24.5819,-2.5101,-46.5118,269.5589,-3.4232,-0.2138,5,66.37902,49.011154,8.422715,159.119,NaN,9.76,5.36,240.1,17 / 28,15509,2018-07-03 13:47:10:555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.171982,0.152664,9.814987,0.098805,0.372536,9.799074,0.077101,-0.239896,0.108282,-0.000305,0.000381,-0.000244,2147.4836,32.486,-12.4222,-49.4095,251.4941,-2.5217,-0.4785,5,67.21254,49.01112,8.422586,158.3086,NaN,9.6,6.432,241.7,18 / 29,16009,2018-07-03 13:47:11:055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.136078,0.077255,10.165741,0.094836,0.190003,9.804351,0.029525,-0.144971,0.265623,0.00058,0.003204,0.001343,2147.4836,35.7056,-10.527,-45.4407,254.4578,-1.1102,-0.5542,5,67.91916,49.01112,8.422586,158.3086,NaN,9.6,6.432,241.7,18 / 29,16508,2018-07-03 13:47:11:554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.121307,0.019791,9.908356,0.054219,0.12888,9.805654,-0.118536,-0.10569,0.13527,-0.003143,-0.010101,0.001526,2147.4836,37.3688,-8.2611,-43.5059,258.9481,-0.9241,-0.4495,5,66.52289,49.01107,8.422451,159.4451,NaN,10.51,7.504,244.3,19 / 29,17008,2018-07-03 13:47:12:054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.391052,-0.005356,9.671341,0.10026,0.055274,9.805983,0.163784,-0.053507,-0.125646,0.001297,-0.00531,-0.002029,2147.4836,37.7487,-5.9525,-42.3798,261.4674,-0.3229,-0.5858,5,67.42545,49.01107,8.422451,159.4451,NaN,10.51,7.504,244.3,19 / 29,17508,2018-07-03 13:47:12:554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.066635,-0.026901,9.453461,0.100955,0.01855,9.806112,-0.023167,-0.04785,-0.24175,-0.002975,0.002686,-0.000778,2147.4836,36.7767,-8.2031,-46.3135,257.4558,-0.1362,-0.6108,5,65.63599,49.011032,8.422337,160.5817,NaN,10.67,7.504,242.7,19 / 29,18008,2018-07-03 13:47:13:054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.285706,0.134705,9.592331,0.110728,0.013544,9.806015,-0.011084,-0.014917,-0.118805,0.000229,0.002686,0.000641,2147.4836,37.0392,-8.7616,-44.1879,256.5881,-0.0766,-0.6528,5,67.17472,49.011032,8.422337,160.5817,NaN,10.67,7.504,242.7,19 / 29,18509,2018-07-03 13:47:13:555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.114532,0.018585,9.928711,0.029343,0.006312,9.806604,0.055802,-0.004052,0.33711,0.000412,-0.002289,-0.001144,2147.4836,38.1989,-7.959,-48.4711,257.9608,-0.0528,-0.4054,5,65.89813,49.010944,8.422225,160.0321,NaN,10.68,5.36,239.2,18 / 29,19008,2018-07-03 13:47:14:054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.083405,0.03775,9.849701,0.071361,0.005785,9.806389,-0.00955,-0.029089,-0.045147,0.002533,0.001083,0.000809,2147.4836,37.204,-11.4929,-48.2758,253.6288,-0.0338,-0.4169,5,65.7587,49.010944,8.422225,160.0321,NaN,10.68,5.36,239.2,18 / 29,19509,2018-07-03 13:47:14:555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
