ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (m),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( m/s),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS,,
0.9207,2.3655,9.6622,0.7934,2.3584,9.4857,0.0372,0.0688,0.2906,-0.3336,-0.0966,0.1081,4797,9.1,5.41,-43.41,322.25,-15.85,-4.88,5,44.854,49.00121,8.413026,195,115.8424683,0,10.72,,25-Dec,512,2018-07-11 10:21:21:755,,
0.5472,0.0775,9.7951,0.1788,-0.3568,9.7985,0.3117,0.346,0.3725,-0.9339,0.4577,-0.0629,6685,12.48,15.55,-41.38,322.71,-4.81,-3.82,5,43.683,49.00121,8.413026,195,115.8424683,0,10.72,,25-Dec,1012,2018-07-11 10:21:22:255,,
-0.4207,-0.5765,11.9665,0.2713,0.0515,9.8028,-0.2515,-0.8094,2.1022,1.1536,0.3009,0.0616,8726,10.83,15.24,-41.76,321.38,-0.3,-1.59,5,47.413,49.00121,8.413026,195,115.8424683,0,10.72,,25-Sep,1512,2018-07-11 10:21:22:755,,
1.1825,2.6755,8.2137,1.305,2.7123,9.3333,-0.0583,-0.0387,-0.4985,0.0538,-0.0073,0.0464,5633,5.18,5.54,-43.38,328.89,-16.33,-7.54,5,43.569,49.00121,8.413026,195,115.8424683,0,10.72,,25-Sep,2012,2018-07-11 10:21:23:255,,
1.2402,2.4044,9.784,1.2495,2.563,9.383,-0.0082,-0.1062,0.55,-0.0425,0.0338,0.0222,6256,5.87,5.77,-43.34,325.32,-15.47,-7.71,5,40.508,49.00121,8.413026,195,115.8424683,0,10.72,,25-Sep,2512,2018-07-11 10:21:23:755,,
1.1304,2.4787,9.2979,1.1764,2.5455,9.3972,0.0248,-0.0367,-0.0173,-0.0276,0.0217,-0.0026,6256,6.01,5.98,-43.35,325.52,-15.02,-7.33,5,33.44,49.00121,8.413026,195,115.8424683,0,10.72,,25-Sep,3012,2018-07-11 10:21:24:255,,
1.002,2.4273,9.2106,1.1399,2.4172,9.4355,-0.0858,-0.0081,0.0892,0.0224,0.0305,0.034,6320,5.93,6.48,-43.93,325.38,-14.35,-7.05,5,34.773,49.00119,8.413017,191,115.8424683,0,9.648001,,25-Dec,3512,2018-07-11 10:21:24:755,,
1.0531,2.6101,9.1792,1.1285,2.6962,9.3609,-0.0605,-0.0052,-0.2194,0.0578,0.0387,0.0217,6219,6.91,4.82,-42.56,323.44,-15.96,-6.87,5,37.272,49.00119,8.413017,191,115.8424683,0,9.648001,,25-Dec,4012,2018-07-11 10:21:25:255,,
1.0788,2.6114,9.2766,1.1801,2.6163,9.3772,-0.0709,0.0202,-0.0582,-0.0203,-0.029,-0.0108,6226,6.96,5.14,-42.59,322.58,-15.55,-7.1,5,38.493,49.001175,8.413023,190,115.8424683,0,9.648001,,25-Dec,4513,2018-07-11 10:21:25:756,,
1.1693,2.579,9.1133,1.184,2.6009,9.381,0.0325,-0.0362,0.0114,-0.009,-0.0177,0.0158,6292,6.99,4.91,-42.51,322.21,-15.38,-7.19,5,40.168,49.001175,8.413023,190,115.8424683,0,9.648001,,25-Dec,5013,2018-07-11 10:21:26:256,,
0.5517,3.1246,11.5984,0.3889,3.05,9.3122,-0.5566,0.3957,-0.1984,0.6666,0.6041,-0.3036,6450,9.45,4.71,-42.95,317.98,-14.6,-6.53,5,41.08,49.001167,8.413031,191,115.8424683,0,9.648001,,13 / 25,5512,2018-07-11 10:21:26:755,,
0.1139,3.4944,8.5894,-0.3708,3.8141,9.0269,0.6026,-0.3377,-0.4466,-0.1175,-0.2599,0.231,4625,15.45,-0.78,-41.3,318.9,-22.89,2.35,5,40.4,49.001167,8.413031,191,115.8424683,0,9.648001,,13 / 25,6012,2018-07-11 10:21:27:255,,
0.1062,3.1746,9.0185,0.2827,3.2536,9.2469,0.0683,0.049,0.1812,-0.1795,0.0177,0.1479,6310,13.05,0.9,-41.96,317.16,-20.31,-1.72,5,42.77,49.001152,8.413036,193,115.8424683,0,9.648001,,15 / 25,6512,2018-07-11 10:21:27:755,,
0.553,2.6966,9.0825,0.4324,2.8989,9.3584,0.0039,-0.1364,-0.0391,0.0556,-0.0791,-0.0732,6864,13.3,2.38,-42.06,312.64,-16.72,-2.74,5,44.587,49.001152,8.413036,193,115.8424683,0,9.648001,,15 / 25,7012,2018-07-11 10:21:28:255,,
0.5814,2.8975,9.3916,0.439,2.7913,9.3908,0.391,0.0943,-0.1928,-0.0882,0.0162,-0.0103,6844,13.19,2.69,-42.19,315.21,-17.08,-2.62,5,45.41,49.001152,8.413036,193,115.8424683,0,9.648001,,15 / 25,7512,2018-07-11 10:21:28:755,,
0.4803,2.4924,9.6128,0.3865,2.6047,9.4465,0.1349,-0.0391,0.2511,0.0461,0.0294,-0.1182,7061,13.23,3.81,-41.57,315.3,-15.4,-2.34,5,45.056,49.001152,8.413036,193,115.8424683,0,9.648001,,15 / 25,8012,2018-07-11 10:21:29:255,,
0.5777,3.0784,9.2726,0.5658,3.1173,9.2808,-0.3186,0.0241,0.1509,-0.1127,-0.2542,-0.1964,5838,12.91,1.52,-42.41,319.78,-19.86,-0.82,5,45.342,49.001167,8.413047,189,115.8424683,0,9.648001,,16 / 25,8512,2018-07-11 10:21:29:755,,
0.922,2.7034,9.5239,0.6747,2.8324,9.3644,-0.0967,0.025,0.0951,0.0318,0.0221,-0.1063,6144,9.43,3.88,-43.72,322.43,-16.57,-4.49,5,40.331,49.001167,8.413047,189,115.8424683,0,9.648001,,16 / 25,9012,2018-07-11 10:21:30:255,,
0.5526,2.7629,9.256,0.645,2.9321,9.3358,-0.1163,-0.0403,-0.1544,-0.016,0.0334,-0.0229,5896,8.95,3.95,-43.73,324.37,-17.4,-3.95,5,38.387,49.001167,8.413047,189,115.8424683,0,9.648001,,16 / 25,9513,2018-07-11 10:21:30:756,,
0.6015,2.8166,9.0306,0.5675,2.942,9.3377,-0.0149,-0.0651,0.0822,0.0303,0.0089,0.0074,6128,9.52,3.6,-43.67,323.03,-17.46,-3.48,5,34.384,49.001167,8.413047,189,115.8424683,0,9.648001,,16 / 25,10012,2018-07-11 10:21:31:255,,
0.1935,2.8475,9.3586,0.3559,2.9026,9.3605,-0.1087,0.0062,-0.1306,-0.1033,0.0044,-0.0781,5841,10.48,3.67,-43.63,325.91,-17.6,-1.97,5,34.868,49.00116,8.413053,193,115.8424683,0,9.648001,,14 / 18,10512,2018-07-11 10:21:31:755,,
-0.6024,3.0436,7.4059,1.3113,2.9019,9.2752,-2.8073,1.1525,1.2715,0.7772,-0.1778,0.3853,5426,9.6,2.55,-44.26,328.69,-17.31,0.37,5,49.341,49.00116,8.413053,193,115.8424683,0,9.648001,,14 / 18,11012,2018-07-11 10:21:32:255,,
-1.9769,1.8923,7.6582,-0.1673,1.2892,9.7201,2.7846,-0.5387,10.2072,1.4358,2.5566,0.0996,6590,15.73,8.32,-41.38,311.13,-7.55,0.99,5,51.828,49.00116,8.413053,193,115.8424683,0,9.648001,,15 / 19,11513,2018-07-11 10:21:32:756,,
-6.2693,3.6008,6.7759,-4.2409,3.1842,8.249,-0.0205,0.4555,0.7637,-0.1343,-0.1141,-0.1857,783,33.52,2.36,-33.75,318.76,-18.95,27.21,5,60.911,49.00116,8.413053,193,115.8424683,0,9.648001,,15 / 19,12012,2018-07-11 10:21:33:255,,
-9.5451,1.5338,5.4933,-8.2256,-0.8056,5.2784,-0.489,1.53,-0.8944,0.4894,0.0996,-2.4492,391,40.38,15.26,-23.78,352.64,-5.24,55.99,5,46.96,49.00116,8.413053,193,115.8424683,0,9.648001,,18-Sep,12513,2018-07-11 10:21:33:756,,
-8.0771,-2.6309,3.3647,-7.1171,-2.3948,6.3073,-2.2404,-0.0371,-3.7029,0.7791,-0.6333,-0.9364,246,26.26,26.34,-28.25,22.4,12.88,53.43,5,49.745,49.00116,8.413053,193,115.8424683,0,9.648001,,18-Sep,13012,2018-07-11 10:21:34:255,,
-7.5208,-3.1734,7.3641,-7.7839,-1.9301,5.6442,1.5124,-0.9533,-0.2182,1.0737,1.1579,-0.711,284,29.44,24.47,-28.88,22.53,11.35,54.05,5,50.622,49.00116,8.413053,193,115.8424683,0,9.648001,,18-Oct,13512,2018-07-11 10:21:34:755,,
-6.0309,-4.6809,3.6276,-9.5477,-1.916,1.1579,5.9931,-2.5907,0.3272,-1.3999,0.7151,-1.6458,125,41,21.62,-18.41,28.72,5.61,78.75,0,50.238,49.00116,8.413053,193,115.8424683,0,9.648001,,18-Oct,14012,2018-07-11 10:21:35:255,,
-2.968,-9.4084,1.9892,-4.8153,-8.48,1.0358,0.3642,-0.3111,-0.4891,0.7358,-1.1655,-0.7729,6,14.21,39.29,-4.62,25.13,51.96,95.41,0,56.972,49.001167,8.413048,193,115.8424683,0,3.216,,16-Aug,14512,2018-07-11 10:21:35:755,,
6.2017,-8.7864,1.3896,1.7996,-9.6401,-0.0064,-0.504,-1.6841,-0.445,0.0722,-0.5288,0.3233,1,-21.87,30.11,-4.05,182.23,82.73,-81.53,0,63.864,49.001167,8.413048,193,115.8424683,0,3.216,,16-Aug,15012,2018-07-11 10:21:36:255,,
1.9243,-10.8649,0.1526,1.1307,-9.737,0.2872,0.8079,-0.6962,-0.605,-0.0274,0.0167,0.073,1,-21.99,31.13,-4.78,178.25,83.17,-75.75,0,51.952,49.001167,8.413048,193,115.8424683,0,3.216,,19-Nov,15512,2018-07-11 10:21:36:755,,
0.5786,-8.4775,-0.2447,0.9845,-9.7448,0.4907,0.3042,-0.0796,-0.6828,0.3567,-0.6336,-0.0204,1,-21.58,31.45,-2.59,157.74,83.56,-63.51,0,50.874,49.001167,8.413048,193,115.8424683,0,3.216,,19-Nov,16013,2018-07-11 10:21:37:256,,
0.3249,-11.5217,0.8195,0.8307,-9.7565,0.5391,-0.2934,-1.7119,0.2333,-0.1005,0.1776,-0.4201,1,-20.85,32.18,-3.25,129.43,84.59,-37.74,0,67.899,49.001167,8.413048,193,115.8424683,0,3.216,,18-Oct,16512,2018-07-11 10:21:37:755,,
1.6466,-9.9954,-0.9658,0.7707,-9.7763,0.0074,0.7621,-0.2699,-0.8564,0.3202,0.7255,-0.0645,1,-19.09,30.71,-7.31,190.94,86.15,-79.57,0,56.781,49.001167,8.413048,193,115.8424683,0,3.216,,18-Oct,17012,2018-07-11 10:21:38:255,,
2.8471,-9.2256,0.8304,1.1148,-9.7166,0.7172,1.611,0.4911,-0.2769,-0.0637,0.8689,0.1257,1,-17.82,31.12,-16.05,203.78,81.82,-67.7,0,49.289,49.001167,8.413048,193,115.8424683,0,3.216,,25-Nov,17512,2018-07-11 10:21:38:755,,
0.0336,-10.0143,1.7263,1.1843,-9.6197,1.4929,-0.8281,0.0352,0.0241,-0.093,0.3145,-4.00E-04,1,-14.02,30.36,-22.7,189.27,78.8,-38.42,0,45.955,49.001167,8.413048,193,115.8424683,0,3.216,,25-Nov,18012,2018-07-11 10:21:39:255,,
1.9292,-9.9777,1.5341,0.9397,-9.6164,1.6771,0.473,-0.3542,-0.0289,0.0529,0.2627,-0.1066,1,-9.96,30.9,-25.31,187.93,79.28,-27.9,0,49.488,49.001167,8.413048,193,115.8424683,0,3.216,,25-Oct,18512,2018-07-11 10:21:39:755,,
1.1622,-10.2985,1.7687,0.6675,-9.6423,1.6583,0.5421,-0.3366,-0.4368,0.0815,-0.2867,0.1763,1,-7.61,30.86,-25.44,189.68,79.29,-25.14,0,48.317,49.001167,8.413048,193,115.8424683,0,3.216,,25-Oct,19012,2018-07-11 10:21:40:255,,
0.7467,-10.4511,2.349,0.5309,-9.5813,2.0217,0.3176,-0.2498,-0.007,0.0603,0.212,-0.0335,1,-6.3,29.65,-26.66,183.64,78.24,-15.29,0,38.949,49.001167,8.413048,193,115.8424683,0,3.216,,25-Sep,19512,2018-07-11 10:21:40:755,,
0.6775,-10.1705,1.3134,0.5486,-9.6148,1.8509,-0.0368,-0.1693,-0.2577,-0.0902,-0.0905,-0.0627,1,-5.16,30.71,-27.96,188.33,78.65,-16.51,0,38.877,49.001167,8.413048,193,115.8424683,0,3.216,,25-Sep,20012,2018-07-11 10:21:41:255,,
1.2088,-10.3896,1.5062,0.9195,-9.598,1.7899,0.0373,-0.3,-0.3219,-0.0424,-0.2972,-0.1709,1,-7.85,30.61,-27.84,184.78,78.29,-19.59,0,42.024,49.001167,8.413048,193,115.8424683,0,3.216,,25-Jul,20512,2018-07-11 10:21:41:755,,
0.4902,-11.1199,-0.7007,1.663,-9.5793,1.2814,0.2211,-1.885,2.2892,-0.8408,-0.6439,-0.2937,1,-13.18,31.13,-24.28,194.48,78.26,-39.32,0,52.907,49.001167,8.413048,193,115.8424683,0,3.216,,25-Jul,21013,2018-07-11 10:21:42:256,,
1.0379,-10.4832,1.8386,1.8293,-9.559,1.2042,-0.3284,-0.0722,0.5114,0.0466,-0.135,-0.1133,1,-15.74,29.91,-22.97,204.16,77.63,-53.07,0,50.73,49.001167,8.413048,193,115.8424683,0,3.216,,25-Jul,21513,2018-07-11 10:21:42:756,,
2.6575,-10.3339,1.2775,2.2686,-9.4544,1.2799,0.2372,0.1218,-0.2725,0.0663,-0.082,-0.1234,1,-17.54,28.52,-22.85,211.43,74.6,-60.57,0,47.027,49.001167,8.413048,193,115.8424683,0,3.216,,25-Jul,22012,2018-07-11 10:21:43:255,,
3.1204,-9.6782,1.1359,2.5205,-9.3586,1.4944,0.2864,0.1159,-0.0221,0.0222,0.0687,-0.013,1,-17.9,27.45,-22.89,205.98,72.79,-56.07,0,47.046,49.001167,8.413048,193,115.8424683,0,3.216,,25-Jul,22512,2018-07-11 10:21:43:755,,
2.2344,-10.0523,1.4375,2.2279,-9.4532,1.3578,0.0349,0.0642,0.1845,0.0443,-0.1633,0.1297,1,-16.88,28.14,-22.05,212.47,73.99,-60.48,0,38.93,49.001167,8.413048,193,115.8424683,0,3.216,,25-Jul,23012,2018-07-11 10:21:44:255,,
1.2604,-10.334,1.2473,1.7772,-9.571,1.1868,-0.5676,-0.2041,0.0328,-0.0649,0.0367,0.0857,1,-16.33,29.3,-21.53,206.85,77.41,-56.26,0,44.291,49.001167,8.413048,193,115.8424683,0,3.216,,25-Jul,23512,2018-07-11 10:21:44:755,,
1.947,-10.0381,0.9163,1.6821,-9.6214,0.8774,0.1471,0.4519,-0.0512,-4.00E-04,-0.1107,0.0046,1,-15.82,30.17,-20.92,212.45,78.85,-62.45,0,45.99,49.001167,8.413048,193,115.8424683,0,3.216,,25-Jul,24012,2018-07-11 10:21:45:255,,
2.6777,-10.0914,1.1239,2.005,-9.5748,0.689,0.2984,0.1081,0.3404,-0.0854,-0.0638,-0.0537,1,-16.07,30.26,-20.81,220.21,77.52,-67.63,0,53.5,49.001167,8.413048,193,115.8424683,0,3.216,,25-Aug,24512,2018-07-11 10:21:45:755,,
2.1382,-10.1902,0.6353,2.1072,-9.5658,0.4755,-0.0137,0.0224,0.0269,0.0112,-0.0775,-0.0115,1,-17.02,30.84,-19.54,228.07,77.46,-76.6,0,47.982,49.001167,8.413048,193,115.8424683,0,3.216,,25-Aug,25013,2018-07-11 10:21:46:256,,
2.1937,-10.1711,0.5901,2.0913,-9.5674,0.5114,0.0048,0.0115,0.0064,0.0293,0.0091,0.0043,1,-16.9,30.94,-19.76,227.83,77.32,-76.26,0,42.211,49.001167,8.413048,193,115.8424683,0,3.216,,25-Jul,25513,2018-07-11 10:21:46:756,,
2.2002,-10.2182,0.5624,2.1299,-9.5597,0.4961,-0.0627,0.0238,0.0262,-0.0083,0.0126,-0.0082,1,-17.18,31.02,-19.69,228.4,77.13,-76.53,0,50.187,49.001167,8.413048,193,115.8424683,0,3.216,,25-Jul,26012,2018-07-11 10:21:47:255,,
2.2821,-10.1485,0.4537,2.1821,-9.55,0.4552,-0.0054,-0.0077,-0.0287,0.0196,3.00E-04,-0.0203,1,-17.25,30.64,-19.29,229.48,76.91,-78.28,0,46.665,49.001167,8.413048,193,115.8424683,0,3.216,,25-Jul,26512,2018-07-11 10:21:47:755,,
2.2651,-10.2052,0.515,2.1448,-9.5568,0.4885,-0.0356,0.0085,0.0262,0.0115,-0.0038,0.0207,1,-17.12,30.7,-19.57,229.92,76.95,-77.59,0,46.997,49.001167,8.413048,193,115.8424683,0,3.216,,25-Jul,27012,2018-07-11 10:21:48:255,,
2.28,-9.6047,1.0727,1.7338,-9.6291,0.667,0.8944,1.0667,0.0588,-0.0137,0.1728,0.1361,1,-16.05,31.61,-21.2,223.65,78.54,-70.71,0,50.013,49.001167,8.413048,193,115.8424683,0,3.216,,25-Jul,27512,2018-07-11 10:21:48:755,,
1.5612,-10.4542,0.6585,1.8652,-9.5796,0.961,-0.1694,-0.3303,-0.2085,0.1237,-0.0218,-0.0147,1,-16.12,31.01,-22.6,216.77,77.65,-62.74,0,46.845,49.001167,8.413048,193,115.8424683,0,3.216,,25-Jul,28012,2018-07-11 10:21:49:255,,
2.4846,-9.6514,1.4787,1.9897,-9.5591,0.9134,0.2837,0.4489,0.1301,0.0163,-0.0079,-0.0045,1,-16.67,30.88,-22.65,217.32,77.27,-64.7,0,39.207,49.001167,8.413048,193,115.8424683,0,3.216,,25-Jul,28513,2018-07-11 10:21:49:756,,
2.4842,-9.9966,1.1122,2.1614,-9.516,0.9719,0.1742,0.2074,0.0715,0.0349,0.1721,0.0133,1,-17.58,30.4,-22.41,216.03,76.02,-65.79,0,44.807,49.001167,8.413048,193,115.8424683,0,3.216,,25-Jul,29013,2018-07-11 10:21:50:256,,
2.3877,-10.1576,0.7617,1.986,-9.5723,0.773,-0.0961,-0.0213,-0.0488,-0.5909,0.731,-6.00E-04,1,-15.58,30.58,-23.35,213.83,76.08,-59.28,0,52.908,49.001167,8.413048,193,115.8424683,0,3.216,,25-Aug,29513,2018-07-11 10:21:50:756,,
2.1769,-10.0495,1.1571,1.9118,-9.5284,1.3133,0.0279,0.208,-0.1628,0.059,-0.1591,-0.2581,1,-14.35,30.14,-25.14,215.36,76.32,-55.51,0,59.47,49.001167,8.413048,193,115.8424683,0,3.216,,25-Aug,30013,2018-07-11 10:21:51:256,,
2.141,-10.1913,1.4094,2.1026,-9.5099,1.1448,-0.0256,0.0522,0.0291,-0.0127,0.0569,-0.0742,1,-14.07,30.44,-25.21,221.77,76.04,-60.35,0,60.063,49.001167,8.413048,193,115.8424683,0,3.216,,25-Jul,30512,2018-07-11 10:21:51:755,,
2.292,-9.7463,1.4458,2.1264,-9.4758,1.3631,-0.0234,0.1648,-0.0659,0.0294,-0.0508,-0.066,1,-14.9,29.42,-25.79,214.97,75.21,-55.84,0,50.755,49.001167,8.413048,193,115.8424683,0,3.216,,25-Jul,31012,2018-07-11 10:21:52:255,,
2.7917,-10.0804,1.9415,2.3144,-9.4118,1.4942,0.1559,0.0684,-0.2201,0.4594,-0.2137,-0.0538,1,-13.54,29.23,-25.96,226.61,74.93,-63.02,0,59.745,49.001167,8.413048,193,115.8424683,0,3.216,,25-Sep,31512,2018-07-11 10:21:52:755,,
2.5433,-10.1129,1.5099,2.3452,-9.4352,1.2833,-0.1007,0.0756,0.1729,-0.2619,0.2235,9.00E-04,1,-15.18,29.54,-24.43,221.67,74.18,-61.31,0,54.327,49.001167,8.413048,193,115.8424683,0,3.216,,25-Sep,32012,2018-07-11 10:21:53:255,,
3.128,-9.9857,0.7244,1.6959,-9.5839,1.2009,0.8312,-0.3425,-0.2515,-0.1908,0.0799,0.4342,1,-13.12,30.67,-23.82,226.55,76.34,-62.78,0,66.105,49.001167,8.413048,193,115.8424683,0,3.216,,25-Oct,32512,2018-07-11 10:21:53:755,,
2.0775,-10.1259,1.4835,1.1686,-9.6096,1.5684,0.8576,-0.1323,-0.4014,0.0968,-0.1573,-0.0573,1,-10.57,29.4,-25.43,192.22,79.04,-33.3,0,48.44,49.001167,8.413048,193,115.8424683,0,3.216,,25-Oct,33012,2018-07-11 10:21:54:255,,
2.6144,-9.2153,2.6136,2.4652,-9.1289,2.5993,0.1808,0.4059,-0.4569,-0.3272,0.4367,-0.3614,1,-11.05,26.03,-28.65,210.34,68.43,-40.21,0,47.332,49.001167,8.413048,193,115.8424683,0,3.216,,25-Oct,33513,2018-07-11 10:21:54:756,,
4.693,-11.5331,0.7941,3.5711,-8.9497,1.8224,1.4233,-2.7293,-2.3803,0.2902,0.4725,-0.1433,1,-9.28,28,-26.81,250.5,65.87,-62.96,0,51.926,49.001167,8.413048,193,115.8424683,0,3.216,,25-Oct,34013,2018-07-11 10:21:55:256,,
-0.0283,-9.4925,4.9655,0.0353,-7.3924,6.4437,1.3228,0.0896,-2.4956,1.4496,1.1481,0.6958,1,3.22,19.92,-37.23,217.35,53.65,-14.96,0,51.252,49.001167,8.413048,193,115.8424683,0,3.216,,25-Nov,34512,2018-07-11 10:21:55:755,,
-2.1672,-6.0131,8.3374,-0.5052,-7.1029,6.7427,-0.9283,1.1214,0.5288,-0.3904,-1.988,1.2133,1,9.46,11.96,-39.96,187.57,45.16,8.86,0,51.914,49.001167,8.413048,193,115.8424683,0,3.216,,25-Nov,35012,2018-07-11 10:21:56:255,,
2.8318,-8.3383,7.0801,2.8581,-6.8686,6.3894,0.0634,-1.1933,0.2934,-0.0751,-0.4986,-0.2429,1,-21.15,9.03,-34.47,166.07,44.46,-24.1,0,53.664,49.001167,8.413048,193,115.8424683,0,3.216,,25-Nov,35512,2018-07-11 10:21:56:755,,
5.8161,-9.1171,2.9717,5.1676,-7.0207,4.4916,0.7155,-1.5349,-1.9496,-0.606,-0.6975,0.0025,1,-32.48,8.76,-24.44,159.9,44.03,-42.15,0,50.63,49.001167,8.413048,193,115.8424683,0,3.216,,25-Nov,36012,2018-07-11 10:21:57:255,,
6.2984,-8.004,0.2583,7.2064,-6.5617,1.0878,-1.8163,0.3555,-1.2871,0.5955,-0.6327,-0.0404,1,-42.02,6.73,-3.97,182.76,42.14,-86.07,0,54.839,49.001167,8.413048,193,115.8424683,0,3.216,,25-Nov,36512,2018-07-11 10:21:57:755,,
6.0686,-9.0605,2.0066,6.2139,-7.392,1.7074,-0.6356,-0.7689,0.3281,0.3684,0.4787,0.3945,1,-39.19,11.01,-8.3,181.71,45.89,-79.31,0,56.517,49.001167,8.413048,193,115.8424683,0,3.216,,25-Nov,37013,2018-07-11 10:21:58:256,,
5.3152,-9.0697,2.9645,5.4647,-7.7444,2.5163,-0.7997,-0.5099,0.1388,0.2688,0.2007,-0.3531,1,-35.39,14.23,-15.82,179.72,52.16,-65.28,0,55.814,49.001213,8.413081,193,115.6011505,1.7,4.288,349.4,25-Oct,37512,2018-07-11 10:21:58:755,,
6.4106,-7.8996,3.0744,6.0977,-7.0928,2.9463,-0.4284,-0.7805,0.1603,-0.414,0.0506,-0.33,1,-32.07,11.69,-19.45,182.51,47.5,-60.61,0,55.631,49.001213,8.413081,193,115.6011505,1.7,4.288,349.4,25-Oct,38012,2018-07-11 10:21:59:255,,
7.9438,-7.1093,3.3505,6.4364,-6.6189,3.3066,0.6331,0.5606,-0.8321,1.7552,-0.3902,-0.1293,1,-35.97,8.04,-15.91,188.13,46.35,-70.79,0,56.049,49.001247,8.413055,192,115.6011505,1.68,4.288,342.3,25-Nov,38512,2018-07-11 10:21:59:755,,
6.2641,-7.1811,3.9347,4.5591,-7.4367,4.4812,1.632,0.6077,-0.7427,0.6198,-0.0347,0.3058,1,-34.17,10.36,-22.71,167.48,48.97,-48.42,0,55.725,49.001247,8.413055,192,115.6011505,1.68,4.288,342.3,25-Nov,39012,2018-07-11 10:22:00:255,,
6.2706,-6.1942,3.3238,5.4144,-7.2884,3.706,0.8934,1.0798,-0.7276,0.2405,-1.0807,0.1734,1,-40.25,12.59,-14.25,146.38,48.42,-51.23,0,53.043,49.001263,8.413028,193,115.6011505,1.57,4.288,355.8,13 / 25,39512,2018-07-11 10:22:00:755,,
5.9552,-6.0415,4.784,5.2792,-6.3129,5.3336,0.7713,0.2284,-1.0791,0.0775,-0.4664,0.6697,1,-38.82,12.34,-12,125.93,40.07,-44.71,0,57.075,49.001263,8.413028,193,115.6011505,1.57,4.288,355.8,13 / 25,40013,2018-07-11 10:22:01:256,,
5.7721,-6.1163,4.4767,6.1089,-6.3829,4.2556,-0.1293,-0.1774,0.1129,-0.4461,-0.1507,-0.4357,1,-40.48,12.46,-7.33,128.67,41.86,-52.45,0,53.039,49.001274,8.413018,190,115.6011505,1.06,3.216,339.8,15 / 25,40512,2018-07-11 10:22:01:755,,
7.9849,-4.0592,7.0182,7.7174,-4.7131,3.7946,-0.0318,0.1974,3.0152,0.2603,0.5486,-0.441,1,-43.94,1.04,-3.54,140.13,28.72,-63.82,0,54.474,49.001274,8.413018,190,115.6011505,1.06,3.216,339.8,15 / 25,41012,2018-07-11 10:22:02:255,,
5.9776,-7.2292,5.8455,6.5863,-5.3574,4.908,-1.1949,-1.7594,2.3884,-0.4733,0.951,-0.502,1,-39.78,0.14,-17.99,164.13,34.16,-56.7,0,58.847,49.001263,8.41303,189,115.6011505,0.9,3.216,61.6,15 / 26,41512,2018-07-11 10:22:02:755,,
7.6204,-3.9451,8.0427,6.7427,-4.2586,5.707,1.4451,-0.2628,2.3715,-0.1952,0.6052,0.3435,1,-38.42,-6.2,-19.44,156.7,25.74,-49.76,0,54.345,49.001263,8.41303,189,115.6011505,0.9,3.216,61.6,15 / 26,42012,2018-07-11 10:22:03:255,,
5.3528,-5.2991,7.2758,5.4824,-5.8996,5.5954,-0.5377,0.8753,1.3786,-0.3756,0.261,-0.1537,1,-34.25,1.78,-25.1,165.03,36.16,-45.29,0,58.573,49.00127,8.413046,188,115.6011505,1.08,4.288,45.8,15 / 26,42512,2018-07-11 10:22:03:755,,
5.6859,-4.2176,6.4942,6.4085,-4.2547,6.0826,-1.4963,0.5904,-1.5066,0.837,0.5088,-0.1171,1,-34.47,-5.48,-23.75,173.1,27.38,-50.86,0,56.117,49.00127,8.413046,188,115.6011505,1.08,4.288,45.8,15 / 26,43012,2018-07-11 10:22:04:255,,
5.4249,-5.5995,5.7916,5.9349,-5.5616,5.4787,-0.7572,0.3181,-0.2242,-0.4282,-0.1581,-0.3477,1,-30.29,1.59,-28.73,182.01,34.79,-47.04,0,59.39,49.001316,8.413046,187,115.6011505,2.69,4.288,7.6,16 / 26,43513,2018-07-11 10:22:04:756,,
5.1049,-3.283,4.9464,6.5036,-4.0301,6.1344,-1.9278,0.491,-3.8494,-0.7413,0.593,0.1941,1,-30.95,-4.9,-28.02,177.62,24.26,-46.67,0,58.698,49.001316,8.413046,187,115.6011505,2.69,4.288,7.6,16 / 26,44013,2018-07-11 10:22:05:256,,
5.6259,-7.857,6.8048,5.8138,-5.7682,5.3943,-1.3468,-0.5253,0.5085,-0.3882,-0.2354,-0.1347,1,-25.02,2.37,-33.8,192.22,34.35,-42.81,0,59.014,49.001343,8.413049,186,115.6011505,2.69,4.288,356.2,17 / 26,44513,2018-07-11 10:22:05:756,,
